key,exercise_name,exercise_difficulty,exercise_type
yA,3/4 SIT-UP,Beginner,Strength
34,Ab Crunch Machine,Intermediate,Strength
V4,Ab Roller,Intermediate,Strength
mh,Advanced Kettlebell Windmill,Intermediate,Strength
Jc,Air Bike,Beginner,Strength
aa,Alternative Heel Touchers,Beginner,Strength
wo,Barbell Ab Rollout,Intermediate,Strength
0b,Barbell Ab Rollout- On Knees,Expert,Strength
4O,Barbell Rollout from Bench,Intermediate,Strength
mK,Barbell Side Bend,Beginner,Strength
ei,Bent Press,Expert,Strength
Iw,Bent Knee Hip Raise,Beginner,Strength
h1,Bosu Ball Cable Crunch with Side Bends,Beginner,Strength
vy,Bosu Ball Crunch,Beginner,Strength
up,Bottoms Up,Beginner,Strength
ku,Ankle Circles,Beginner,Stretching
HH,Anterior Tibialis-SMR,Intermediate,Stretching
3J,Balance Board,Beginner,Strength
hy,Barbell Seated Calf Raise,Beginner,Strength
6O,Calf Press,Beginner,Strength
5L,Calf Press on Leg Press Machine,Beginner,Strength
yN,Calf Raise On a Dumbbell,Intermediate,Strength
d8,Calf Raise With Band,Beginner,Strength
b6,Calf Stretch Elbows Against Wall,Beginner,Stretching
7J,Calf Stretch Hands Against Wall,Beginner,Stretching
WL,Calves-SMR,Intermediate,Stretching
gw,Donkey Calf Raises,Intermediate,Strength
Lc,Dumbbell Seated One Leg Calf Raise,Beginner,Strength
dj,Foot-SMR,Intermediate,Stretching
2N,Knee Circles,Beginner,Stretching
UP,90/90 Hamstring,Beginner,Stretching
tW,Alternating Hang Clean,Intermediate,Strength
dJ,Alternating Leg Swing,Beginner,Stretching
Dr,Ball Leg Curl,Beginner,Strength
pO,Band Good Morning,Beginner,Powerlifting
Nc,Band Good Morning(Pull Through),Beginner,Powerlifting
tA,Barbell Deadlift,Intermediate,Strength
G0,Box Jump(Multiple Response),Beginner,Plyometrics
4K,Box Skip,Beginner,Plyometrics
3H,Chair Leg Extended Stretch,Beginner,Stretching
nC,Clean,Intermediate,Olympic Weightlifting
l8,Clean Deadlift,Beginner,Olympic Weightlifting
z1,Double Kettlebell Alternating Hang Clean,Intermediate,Strength
97,Dumbbell Clean,Intermediate,Strength
ed,Floor Glute-Ham Raise,Intermediate,Strength
6x,Alien Squat,Beginner,Plyometrics
xi,All Fours Quad Stretch,Intermediate,Stretching
Wo,Alternate Leg Diagonal Bound,Beginner,Plyometrics
IT,Backward Drag,Beginner,Strongman
Bm,Barbell Full Squat,Intermediate,Strength
C3,Barbell Hack Squat,Intermediate,Strength
vg,Barbell Lunge,Intermediate,Strength
Sl,Barbell Reverse Lunge,Beginner,Strength
ic,Barbell Side Split,Beginner,Strength
6u,Barbell squat,Beginner,Strength
LK,Barbell Squat to a Bench,Expert,Strength
kX,Barbell Squat to a Box,Beginner,Strength
Rt,Barbell Step Ups,Intermediate,Strength
kw,Barbell Thruster,Intermediate,Strength
4I,Barbell Walking Lunge,Beginner,Strength
43,Alternating Cable Shoulder Press,Beginner,Strength
UO,Alternating Deltoid Raise,Beginner,Strength
B2,Alternating Kettlebell Press,Intermediate,Strength
xN,Anti-Gravity Press,Beginner,Strength
2R,Arnold Dumbbell Press,Intermediate,Strength
KF,Axle Clean And Press,Expert,Strongman
jJ,Barbell Front Raise,Beginner,Strength
wX,Barbell Shoulder Press,Intermediate,Strength
Bb,Battling Ropes,Beginner,Strength
QD,Dumbbell Lying One-Arm Rear Lateral Raise Guide,Intermediate,Strength
PR,Dumbbell Shoulder Press,Intermediate,Strength
qH,Seated Barbell Military Press,Intermediate,Strength
zs,Hand Stand Push-Up,Expert,Strength
uQ,One-Arm Kettlebell Split Snatch,Expert,Strength
r0,Front Plate Raise,Intermediate,Strength
8x,Bench Dips,Beginner,Strength
lR,Cable One Arm Tricep Extension,Beginner,Strength
fL,Cable Rope Overhead Triceps Extension,Beginner,Strength
UX,EZ-Bar Skullcrusher,Beginner,Strength
2t,Parallel Bar Dip,Beginner,Strength
mA,Seated Triceps Press,Beginner,Strength
Bx,Suspended Triceps Press,Intermediate,Strength
NW,Triceps Pushdown-Rope Attachment,Beginner,Strength
hb,Weighted Bench Dip,Intermediate,Strength
4h,Standing Overhead Barbell Triceps Extension,Beginner,Strength
pb,Ring Dips,Intermediate,Strength
WP,Reverse Grip Triceps Pushdown,Beginner,Strength
f5,Machine Triceps Extension,Beginner,Strength
Aq,Incline Barbell Triceps Extension,Intermediate,Strength
BB,Cobra Triceps Extension,Intermediate,Strength
n9,Assisted Chin-Up,Beginner,Strength
8P,Close-Grip Front Lat Pulldown,Beginner,Strength
